model,pair,ground_truth_mm,ground_truth_area_cm2,status,detections,fusion_success,strong_alignment,fallback_applied,localization_source,confidence,depth_mm,relative_error,area_cm2,area_source,area_relative_error,residual_coverage,detection_residual_iou,total_ms,fps,error
model1,1,41.62116241455078,44.003143898518026,success,1,True,True,False,yolo,0.8468199968338013,40.219696044921875,0.033671966094319196,48.56417210841794,yolo_mask,0.10365232585241538,0.9901176470588235,0.6707044947401977,57.07942499975616,17.519447681967225,
model1,2,41.62116241455078,44.003143898518026,success,1,True,True,False,yolo,0.8565919399261475,42.55813217163086,0.02251185941775891,49.02355901899145,yolo_mask,0.11409219150458244,0.9937578027465668,0.6479446479446479,67.96807099999569,14.712790657249393,
model1,3,41.62116241455078,44.003143898518026,success,1,True,True,False,yolo,0.8092321753501892,40.7338752746582,0.021318172977849895,47.501125935958406,yolo_mask,0.07949391174202411,0.9622926093514329,0.6254901960784314,50.93053400014469,19.634586984639885,
model1,4,41.62116241455078,44.003143898518026,success,1,True,True,False,yolo,0.8701512813568115,39.80409240722656,0.0436573584664942,48.20589275040518,yolo_mask,0.09551019494379101,0.9962174940898345,0.6705919796308084,52.28365200036933,19.126437456835188,
model1,5,41.62116241455078,44.003143898518026,success,2,True,True,False,yolo,0.7675251960754395,40.222625732421875,0.033601576721941265,37.95084726006432,yolo_mask,0.13754236861829178,0.7820646506777894,0.5305978068623983,53.13270100032241,18.820801148316022,
model1,6,41.62116241455078,44.003143898518026,success,1,True,True,False,yolo,0.8940998315811157,41.853668212890625,0.0055862399042117955,48.875923491193134,yolo_mask,0.11073707833042391,0.9604950023798191,0.657328990228013,55.25549300000421,18.097748218442714,
model1,7,41.62116241455078,44.003143898518026,success,2,True,True,False,yolo,0.8822159767150879,41.626121520996094,0.00011914867720222041,42.6408940144418,yolo_mask,0.030958012618778046,0.8703108252947481,0.5748672566371681,54.07934100003331,18.49134958947418,
model1,8,41.62116241455078,44.003143898518026,success,1,True,True,False,yolo,0.8988165259361267,40.990234375,0.015158827936295418,50.54241610456087,yolo_mask,0.14860920440421252,0.9962406015037594,0.6689807510255601,52.306588000647025,19.11805067437452,
model2,9,40.301639556884766,60.05502237604377,success,1,True,True,False,yolo,0.8704231381416321,42.94072341918945,0.0654832878096606,54.16226164504846,yolo_mask,0.09812269645154548,1.0,0.6365779723812731,63.98407300002873,15.628889395639927,
model2,10,40.301639556884766,60.05502237604377,success,1,True,True,False,yolo,0.8926219940185547,40.79625701904297,0.012272886850175482,53.52932588361147,yolo_mask,0.10866196088597961,1.0,0.6026967701473817,51.84889700012718,19.28681337227959,
model2,11,40.301639556884766,60.05502237604377,success,1,True,True,False,yolo,0.8868855237960815,42.748252868652344,0.06070753792322131,54.61807219554455,yolo_mask,0.09053281416589813,1.0,0.5773955773955773,72.65230899974995,13.764187453470223,
model2,12,40.301639556884766,60.05502237604377,success,1,True,True,False,yolo,0.8628965020179749,42.861366271972656,0.0635142079387341,52.5772830662083,yolo_mask,0.124514803491579,1.0,0.6081466395112016,56.3630180004111,17.742130132078913,
model2,13,40.301639556884766,60.05502237604377,success,1,True,True,False,yolo,0.8655328750610352,43.29865264892578,0.074364545090301,56.70385845402017,yolo_mask,0.055801559793613405,1.0,0.5330172705722993,54.03850299990154,18.505323879934682,
model2,14,40.301639556884766,60.05502237604377,success,1,True,True,False,yolo,0.8363761901855469,42.8372917175293,0.06291684875662493,67.34535182788237,yolo_mask,0.12139416760498525,0.9808917197452229,0.7515015015015015,54.812141000184056,18.244133174740284,
model2,15,40.301639556884766,60.05502237604377,success,1,True,True,False,yolo,0.8494614362716675,39.10240936279297,0.029756362452676724,66.99905547110664,yolo_mask,0.1156278496006836,0.9975806451612903,0.6358262657414546,53.76389699995343,18.59984219523496,
model2,16,40.301639556884766,60.05502237604377,success,1,True,True,False,yolo,0.8832467198371887,40.86700439453125,0.01402833343413947,67.01298669581658,yolo_mask,0.11585982394951823,1.0,0.6043217286914766,52.709633999256766,18.97186385346748,
model2,17,40.301639556884766,60.05502237604377,success,1,True,True,False,yolo,0.889045000076294,40.34003448486328,0.0009526889824003844,59.762564379338784,yolo_mask,0.004869834114351298,0.9976228209191759,0.6814614343707713,57.64422399988689,17.347791862059974,
model2,18,40.301639556884766,60.05502237604377,success,1,True,True,False,yolo,0.8901107311248779,40.04352951049805,0.006404455233698441,63.29069933365277,yolo_mask,0.053878540538180204,1.0,0.6552713987473904,56.38739300047746,17.73446060880191,
model2,19,40.301639556884766,60.05502237604377,success,1,True,True,False,yolo,0.8788556456565857,39.9885368347168,0.007768982245152384,66.79642550157774,yolo_mask,0.11225377759950943,0.9968038353975229,0.6243743743743744,61.1951830005637,16.341155479358374,
model2,20,40.301639556884766,60.05502237604377,area_error,1,True,True,False,yolo,0.8667165637016296,39.38878631591797,0.022650523676048643,71.04269488932893,yolo_mask,0.18296009357026224,0.998780487804878,0.5792079207920792,61.094545999367256,16.368073183003222,
model2,21,40.301639556884766,60.05502237604377,area_error,1,True,True,False,yolo,0.8751639723777771,38.778587341308594,0.03779132145297517,71.31225692150146,yolo_mask,0.18744867789689226,0.9979911611088791,0.5548358275631002,54.37742899994191,18.389983093924286,
model2,22,40.301639556884766,60.05502237604377,success,1,True,True,False,yolo,0.8896698951721191,40.22591018676758,0.0018790642502347174,67.76441544727919,yolo_mask,0.1283721621642544,0.9908036785285885,0.6151936444885799,58.38475199925597,17.12775965911003,
model3,1,23.73018741607666,44.309137441301594,success,2,True,True,False,yolo,0.5090398192405701,22.21185302734375,0.06398324472162716,43.07844021888339,yolo_mask,0.027775246675667418,0.9528165623495426,0.7493373722074972,64.52460399941629,15.497964156572683,
model3,2,23.73018741607666,44.309137441301594,success,2,True,True,False,yolo,0.5090398192405701,22.21185302734375,0.06398324472162716,43.07844021888339,yolo_mask,0.027775246675667418,0.9528165623495426,0.7493373722074972,54.25792599999113,18.430487003874116,
model3,3,23.73018741607666,44.309137441301594,success,1,True,False,True,stereo_residual_fallback,0.7989795804023743,22.72725486755371,0.042263996104956396,48.93260054046667,stereo_residual,0.1043455902360998,1.0,0.033870816829367184,56.98337499961781,17.548978101186655,
model3,4,23.73018741607666,44.309137441301594,success,1,True,False,True,stereo_residual_fallback,0.7563802003860474,22.778076171875,0.04012236513381376,49.31914162431804,stereo_residual,0.11306932322150128,1.0,0.03178583926280182,54.75904200011428,18.26182422983063,
model3,5,23.73018741607666,44.309137441301594,area_error,1,True,True,False,yolo,0.6818517446517944,22.170944213867188,0.06570715919222454,52.12121901094274,yolo_mask,0.17630859052470121,0.9977836879432624,0.7148301047951731,53.4072489999744,18.724049988054606,
